品名,單位,重量,熱量
波蘭燻腸,,100g,226
波蘭燻腸,,100g,309
波蘭香腸,,100g,259
波蘭香腸,,100g,326
波蘭香腸,,100g,301
澳洲羊仔前腱肉,,100g,236
澳洲羊仔前腱肉,,100g,195
澳洲羊仔前腱肉,,100g,165
澳洲羊仔前腱肉,,100g,123
澳洲羊仔前臂肩胛肉,,100g,243
澳洲羊仔前臂肩胛肉,,100g,238
澳洲羊仔前臂肩胛肉,,100g,137
澳洲羊仔前臂肩胛肉,,100g,311
澳洲羊仔後腰脊肉,,100g,281
澳洲羊仔後腰脊肉,,100g,254
澳洲羊仔後腰脊肉,,100g,215
澳洲羊仔後腰脊肉,,100g,138
澳洲羊仔肋排,,100g,277
澳洲羊仔肋排,,100g,289
澳洲羊仔肋排,,100g,210
澳洲羊仔肋排,,100g,160
澳洲羊仔肩胛,,100g,296
澳洲羊仔肩胛,,100g,256
澳洲羊仔肩胛,,100g,233
澳洲羊仔肩胛,,100g,155
澳洲羊仔肩胛板腱肉,,100g,291
澳洲羊仔肩胛板腱肉,,100g,262
澳洲羊仔肩胛板腱肉,,100g,231
澳洲羊仔肩胛板腱肉,,100g,164
澳洲羊仔腿肉,,100g,244
澳洲羊仔腿肉,,100g,215
澳洲羊仔腿肉,,100g,190
澳洲羊仔腿肉,,100g,135
澳洲羊仔里脊肉,,100g,219
澳洲羊仔里脊肉,,100g,203
澳洲羊仔里脊肉,,100g,192
澳洲羊仔里脊肉,,100g,146
火腿沙律醬,,100g,216
火腿芝士醬,,100g,245
火雞、豬肉及牛肉香腸,,100g,101
火雞、豬肉及牛肉香腸,,100g,241
火雞豬肉香腸,,100g,307
煙燻長串香腸,,100g,307
煙燻長串香腸,,100g,313
煙燻長串香腸,,100g,268
煙肉牛肉條,,100g,517
燒烤肉塊,,100g,173
燴牛肉,,100g,99
燻牛肉,,100g,147
牛上前里脊肉,,100g,228
牛上前里脊肉,,100g,138
牛上前里脊肉排,,100g,193
牛上前里脊肉排,,100g,264
牛上前里脊肉排,,100g,182
牛上前里脊肉排,,100g,189
牛上後腰脊肉,,100g,243
牛上後腰脊肉,,100g,201
牛上後腰脊肉,,100g,183
牛上後腰脊肉,,100g,178
牛上後腰脊肉,,100g,131
牛上後腰脊肉排,,100g,212
牛下後腰脊三角烤肉塊,,100g,211
牛下後腰脊三角烤肉塊,,100g,165
牛下後腰脊三角烤肉塊,,100g,182
牛下後腰脊三角烤肉塊,,100g,142
牛下後腰脊三角肉排,,100g,265
牛下後腰脊三角肉排,,100g,250
牛仔上後腿肉,,100g,211
牛仔上後腿肉,,100g,160
牛仔上後腿肉,,100g,211
牛仔上後腿肉,,100g,117
牛仔上後腿肉,,100g,238
牛仔上後腿肉,,100g,183
牛仔上後腿肉,,100g,150
牛仔上後腿肉,,100g,203
牛仔上後腿肉,,100g,107
牛仔上後腿肉,,100g,216
牛仔前後腿腱肉,,100g,191
牛仔前後腿腱肉,,100g,113
牛仔前後腿腱肉,,100g,177
牛仔前後腿腱肉,,100g,108
牛仔前臂肩胛肉,,100g,183
牛仔前臂肩胛肉,,100g,236
牛仔前臂肩胛肉,,100g,132
牛仔前臂肩胛肉,,100g,164
牛仔前臂肩胛肉,,100g,201
牛仔前臂肩胛肉,,100g,105
牛仔後腰脊肉,,100g,202
牛仔後腰脊肉,,100g,252
牛仔後腰脊肉,,100g,152
牛仔後腰脊肉,,100g,168
牛仔後腰脊肉,,100g,204
牛仔後腰脊肉,,100g,110
牛仔心,,100g,186
牛仔心,,100g,110
牛仔肉粒[腿及肩肉],,100g,188
牛仔肉粒[腿及肩肉],,100g,109
牛仔肋排,,100g,228
牛仔肋排,,100g,251
牛仔肋排,,100g,162
牛仔肋排,,100g,177
牛仔肋排,,100g,218
牛仔肋排,,100g,120
牛仔肝,,100g,193
牛仔肝,,100g,192
牛仔肝,,100g,140
牛仔肩胛,,100g,228
牛仔肩胛,,100g,130
牛仔肩胛,,100g,199
牛仔肩胛,,100g,112
牛仔肩胛肉,,100g,184
牛仔肩胛肉,,100g,170
牛仔肩胛脊底肌,,100g,186
牛仔肩胛脊底肌,,100g,225
牛仔肩胛脊底肌,,100g,129
牛仔肩胛脊底肌,,100g,171
牛仔肩胛脊底肌,,100g,198
牛仔肩胛脊底肌,,100g,113
牛仔肺,,100g,104
牛仔肺,,100g,90
牛仔胰臟,,100g,256
牛仔胰臟,,100g,182
牛仔胸肉,,100g,266
牛仔胸肉,,100g,208
牛仔胸肉,,100g,218
牛仔胸肉尖,,100g,282
牛仔胸肉扁平肉,,100g,248
牛仔胸腺,,100g,125
牛仔胸腺,,100g,101
牛仔脾,,100g,129
牛仔脾,,100g,98
牛仔腎,,100g,163
牛仔腎,,100g,99
牛仔腦,,100g,213
牛仔腦,,100g,136
牛仔腦,,100g,118
牛仔舌,,100g,202
牛仔舌,,100g,131
牛仔里脊肉,,100g,217
牛仔里脊肉,,100g,284
牛仔里脊肉,,100g,163
牛仔里脊肉,,100g,175
牛仔里脊肉,,100g,226
牛仔里脊肉,,100g,116
牛前胸扁平肉,,100g,213
牛前胸扁平肉,,100g,289
牛前胸扁平肉,,100g,277
牛前胸扁平肉,,100g,205
牛前胸扁平肉,,100g,196
牛前胸扁平肉,,100g,127
牛前腿心烤肉塊,,100g,341
牛前腿心烤肉塊,,100g,248
牛前腿心烤肉塊,,100g,253
牛前腿肩胛烤肉塊,,100g,297
牛前腿肩胛烤肉塊,,100g,302
牛前腿肩胛烤肉塊,,100g,244
牛前腿肩胛烤肉塊,,100g,214
牛前腿肩胛烤肉塊,,100g,132
牛前里脊T骨排,,100g,247
牛前里脊T骨排,,100g,280
牛前里脊T骨排,,100g,220
牛前里脊T骨排,,100g,189
牛前里脊T骨排,,100g,202
牛前里脊上等腰肉排,,100g,276
牛前里脊上等腰肉排,,100g,297
牛前里脊上等腰肉排,,100g,247
牛前里脊上等腰肉排,,100g,212
牛後腿上腿肉,,100g,188
牛後腿上腿肉,,100g,209
牛後腿上腿肉,,100g,238
牛後腿上腿肉,,100g,166
牛後腿上腿肉,,100g,186
牛後腿上腿肉,,100g,199
牛後腿上腿肉,,100g,185
牛後腿上腿肉,,100g,135
牛後腿上腿肉排,,100g,204
牛後腿下部烤肉塊,,100g,187
牛後腿下部烤肉塊,,100g,218
牛後腿下部烤肉塊,,100g,177
牛後腿下部烤肉塊,,100g,163
牛後腿下部肉,,100g,192
牛後腿下部肉,,100g,128
牛後腿下部肉排,,100g,223
牛後腿下部肉排,,100g,247
牛後腿下部肉排,,100g,214
牛後腿下部肉排,,100g,216
牛後腿外側下部肉排,,100g,182
牛後腿外側下部肉排,,100g,142
牛後腿眼烤肉塊,,100g,168
牛後腿眼烤肉塊,,100g,208
牛後腿眼烤肉塊,,100g,162
牛後腿眼烤肉塊,,100g,169
牛後腿眼肉,,100g,166
牛後腿眼肉,,100g,124
牛柳肉排,,100g,218
牛柳肉排,,100g,193
牛肉午餐肉,,100g,111
牛肉腸,,100g,312
牛肉香腸,,100g,332
牛肉香腸,,100g,405
牛肋眼肉[第10至12條肋骨],,100g,247
牛肋骨[第6至12條肋骨],,100g,351
牛肋骨[第6至12條肋骨],,100g,337
牛肋骨[第6至12條肋骨],,100g,306
牛肩前腿心肉,,100g,216
牛肩前腿心肉,,100g,203
牛肩前腿心肉排,,100g,222
牛肩前腿心肉排,,100g,176
牛肩烤肉塊,,100g,207
牛肩烤肉塊,,100g,172
牛肩烤肉塊,,100g,173
牛肩烤肉塊,,100g,129
牛肩肉排,,100g,220
牛肩肉排,,100g,192
牛肩肉排,,100g,189
牛肺,,100g,120
牛肺,,100g,92
牛胰臟,,100g,271
牛胰臟,,100g,235
牛胸腹板內側腹橫肌肉排,,100g,220
牛胸腹板內側腹橫肌肉排,,100g,205
牛胸腹板內側腹橫肌肉排,,100g,164
牛胸腹板外側腹橫肌肉排,,100g,255
牛胸腹板外側腹橫肌肉排,,100g,233
牛胸腹板外側腹橫肌肉排,,100g,165
牛胸腺,,100g,319
牛胸腺,,100g,236
牛脾,,100g,145
牛脾,,100g,105
牛腎,,100g,158
牛腎,,100g,99
牛腦,,100g,196
牛腦,,100g,151
牛腦,,100g,143
牛腰窩肉排,,100g,192
牛腰窩肉排,,100g,155
牛腰窩肉排,,100g,186
牛腰窩肉排,,100g,141
瑞士香腸,,100g,307
維也納小香腸,,100g,230
羊仔心,,100g,185
羊仔心,,100g,122
羊仔肝,,100g,238
羊仔肝,,100g,220
羊仔肝,,100g,139
羊仔肺,,100g,113
羊仔肺,,100g,95
羊仔胰臟,,100g,234
羊仔胰臟,,100g,152
羊仔脾,,100g,156
羊仔脾,,100g,101
羊仔腎,,100g,137
羊仔腎,,100g,97
羊仔腦,,100g,273
羊仔腦,,100g,145
羊仔腦,,100g,122
羊仔舌,,100g,275
羊仔舌,,100g,222
肝泥醬,,100g,304
肝泥香腸,,100g,326
肝泥香腸醬,,100g,305
胡椒凍肉腸,,100g,149
芝士火腿肉塊或肉卷,,100g,241
芝士腸,,100g,328
芝士通心粉肉塊,,100g,228
薩拉米香腸,,100g,407
薩拉米香腸,,100g,385
薩拉米香腸,,100g,261
薩拉米香腸,,100g,336
薩拉米香腸,,100g,396
蜂蜜火腿,,100g,122
蜂蜜肉塊,,100g,125
蜂蜜香腸卷,,100g,182
血腸,,100g,379
西班牙辣香腸,,100g,455
豬上腰肉[烤肉塊],,100g,207
豬上腰肉[烤肉塊],,100g,198
豬上腰肉[烤肉塊],,100g,230
豬上腰肉[烤肉塊],,100g,204
豬上腰肉[肉塊],,100g,208
豬上腰肉[肉塊],,100g,189
豬上腰肉[肉塊],,100g,193
豬上腰肉[肉塊],,100g,175
豬上腰肉[肉塊],,100g,259
豬上腰肉[肉塊],,100g,245
豬上腰肉[肉塊],,100g,213
豬上腰肉[肉塊],,100g,197
豬上腰肉[肉塊或烤肉塊],,100g,145
豬上腰肉[肉塊或烤肉塊],,100g,128
豬上腰肉[肉塊或烤肉塊],,100g,168
豬上腰肉[肉塊或烤肉塊],,100g,129
豬上里脊肉[烤肉塊],,100g,192
豬上里脊肉[烤肉塊],,100g,166
豬上里脊肉[烤肉塊],,100g,173
豬上里脊肉[烤肉塊],,100g,132
豬上里脊肉[肉塊],,100g,257
豬上里脊肉[肉塊],,100g,196
豬上里脊肉[肉塊],,100g,233
豬上里脊肉[肉塊],,100g,155
豬上里脊肉[肉塊],,100g,225
豬上里脊肉[肉塊],,100g,173
豬上里脊肉[肉塊],,100g,202
豬上里脊肉[肉塊],,100g,127
豬下顎肉,,100g,655
豬大排[烤肉塊],,100g,252
豬大排[烤肉塊],,100g,214
豬大排[烤肉塊],,100g,255
豬大排[烤肉塊],,100g,223
豬大排[肉塊],,100g,273
豬大排[肉塊],,100g,260
豬大排[肉塊],,100g,255
豬大排[肉塊],,100g,224
豬大排[肉塊],,100g,216
豬大排[肉塊],,100g,211
豬大排[肉塊],,100g,265
豬大排[肉塊],,100g,222
豬大排[肉塊],,100g,250
豬大排[肉塊],,100g,218
豬大排[肉塊],,100g,186
豬大排[肉塊],,100g,206
豬大排[肉塊或烤肉塊],,100g,211
豬大排[肉塊或烤肉塊],,100g,152
豬大排[肉塊或烤肉塊],,100g,186
豬大排[肉塊或烤肉塊],,100g,136
豬大腿肉火腿,,100g,203
豬大里脊肉[烤肉塊],,100g,234
豬大里脊肉[烤肉塊],,100g,199
豬大里脊肉[肉塊],,100g,277
豬大里脊肉[肉塊],,100g,209
豬大里脊肉[肉塊],,100g,247
豬大里脊肉[肉塊],,100g,170
豬大里脊肉[肉塊],,100g,232
豬大里脊肉[肉塊],,100g,180
豬大里脊肉[肉塊],,100g,202
豬大里脊肉[肉塊],,100g,127
豬小腿肉火腿,,100g,183
豬小腿肉火腿,,100g,177
豬小腿肉火腿,,100g,139
豬小腿肉火腿,,100g,125
豬小里肌肉,,100g,147
豬小里肌肉,,100g,201
豬小里肌肉,,100g,120
豬小里肌肉,,100g,143
豬小里肌肉,,100g,187
豬小里肌肉,,100g,109
豬尾,,100g,396
豬尾,,100g,378
豬後腿肉[火腿],,100g,289
豬後腿肉[火腿],,100g,263
豬後腿肉[火腿],,100g,215
豬後腿肉[火腿],,100g,139
豬火腿肉排,,100g,122
豬煙肉,,100g,898
豬煙肉,,100g,505
豬煙肉,,100g,548
豬煙肉,,100g,533
豬煙肉,,100g,541
豬煙肉,,100g,541
豬煙肉,,100g,458
豬耳,,100g,166
豬耳,,100g,234
豬肉火腿,,100g,172
豬肉火腿,,100g,246
豬肉火腿,,100g,243
豬肉火腿,,100g,147
豬肉火腿,,100g,157
豬肉火腿,,100g,165
豬肉火腿,,100g,162
豬肉火腿,,100g,165
豬肉火腿,,100g,144
豬肉火腿,,100g,167
豬肉火腿,,100g,507
豬肉火腿,,100g,515
豬肉火腿切片,,100g,180
豬肉火腿切片,,100g,173
豬肉火腿切片,,100g,146
豬肉火腿切片,,100g,130
豬肉火腿肉餅,,100g,315
豬肉火腿肉餅,,100g,342
豬肉火雞肉香腸,,100g,342
豬肉牛肉香腸,,100g,396
豬肉香腸,,100g,339
豬肉香腸,,100g,304
豬肉香腸,,100g,378
豬肩胛前腿肉,,100g,317
豬肩胛前腿肉,,100g,329
豬肩胛前腿肉,,100g,253
豬肩胛前腿肉,,100g,228
豬肩胛前腿肉,,100g,248
豬肩胛前腿肉,,100g,140
豬肩胛前腿肉,,100g,280
豬肩胛前腿肉,,100g,170
豬肩胛肉[肉排],,100g,267
豬肩胛肉[肉排],,100g,186
豬肩胛肉[肉排],,100g,233
豬肩胛肉[肉排],,100g,132
豬肩胛肉卷,,100g,269
豬肩胛肉卷,,100g,287
豬肩胛連前腿肉[烤肉塊],,100g,269
豬肩胛連前腿肉[烤肉塊],,100g,232
豬肩胛連前腿肉[肉排],,100g,259
豬肩胛連前腿肉[肉排],,100g,227
豬背小排,,100g,370
豬背小排,,100g,282
豬脾,,100g,149
豬脾,,100g,100
豬腎,,100g,151
豬腎,,100g,100
豬腩肉,,100g,518
豬腿肉[火腿],,100g,273
豬腿肉[火腿],,100g,245
豬腿肉[火腿],,100g,211
豬腿肉[火腿],,100g,136
豬腿臀肉[火腿],,100g,252
豬腿臀肉[火腿],,100g,222
豬腿臀肉[火腿],,100g,206
豬腿臀肉[火腿],,100g,137
豬臀肉火腿,,100g,177
豬臀肉火腿,,100g,176
豬臀肉火腿,,100g,132
豬臀肉火腿,,100g,125
豬里脊肉,,100g,248
豬里脊肉,,100g,242
豬里脊肉,,100g,239
豬里脊肉,,100g,198
豬里脊肉,,100g,209
豬里脊肉,,100g,210
豬里脊肉,,100g,204
豬里脊肉,,100g,143
豬里脊肩胛肉[烤肉塊],,100g,323
豬里脊肩胛肉[烤肉塊],,100g,247
豬里脊肩胛肉[肉塊],,100g,342
豬里脊肩胛肉[肉塊],,100g,320
豬里脊肩胛肉[肉塊],,100g,323
豬里脊肩胛肉[肉塊],,100g,241
豬里脊肩胛肉[肉塊],,100g,234
豬里脊肩胛肉[肉塊],,100g,225
豬里脊肩胛肉[肉塊或烤肉塊],,100g,285
豬里脊肩胛肉[肉塊或烤肉塊],,100g,157
豬頭肉凍,,100g,157
醃菜及西班牙辣椒凍肉腸,,100g,225
醃豬蹄,,100g,171
醃鹹豬手,,100g,140
野餐凍肉腸,,100g,232
開心果肉腸,,100g,268
鹹牛肉,,100g,250
鹹牛肉前胸肉,,100g,251
鹹牛肉前胸肉,,100g,198
鹹牛肉塊,,100g,153
黎巴嫩大香腸,,100g,172
午餐肉,,100g,229
午餐肚,,100g,181
午餐腸,,100g,261
圓腿,,100g,139
大肉腸,,100g,273
大臘腸,,100g,267
宮爆肉丁,,100g,353
小泥腸,,100g,295
小紅腸,,100g,280
山羊肉,,100g,293
山羊肉,,100g,272
廣東香腸,,100g,433
方腿,,100g,117
火腿腸,,100g,212
炒肝,,100g,96
煨牛肉,,100g,166
牛大腸,,100g,66
牛肺,,100g,95
牛腎,,100g,94
牛腦,,100g,149
牛蹄筋,,100g,151
牛蹄筋,,100g,25
牛蹄筋,,100g,147
珍珠里脊絲,,100g,225
白水羊頭,,100g,193
紅果腸,,100g,260
羊大腸,,100g,75
羊心,,100g,113
羊肉串,,100g,217
羊肉串,,100g,206
羊肉串,,100g,234
羊肉手抓,,100g,188
羊肝,,100g,134
羊肺,,100g,96
羊腎,,100g,96
羊腦,,100g,142
羊舌,,100g,225
羊血,,100g,57
羊蹄筋,,100g,41
羊蹄筋,,100g,159
臘羊肉,,100g,246
茶腸,,100g,329
蒜腸,,100g,309
蛋清腸,,100g,278
豬大排,,100g,264
豬耳,,100g,176
豬肘棒,,100g,248
豬肘棒,,100g,314
豬脾,,100g,94
豬腎[豬腰子],,100g,96
豬膽肝,,100g,336
豬舌[口條],,100g,233
豬蹄,,100g,260
豬蹄,,100g,260
醬汁肉,,100g,549
醬牛肉,,100g,246
風乾腸,,100g,283
鹵豬雜,,100g,186
鹹肉,,100g,390
煎火腿,,100g,150
腸仔,,100g,270
丹麥薩拉米香腸,,100g,430
修芙萊腸,,100g,307
免治牛肉,,100g,213
免治牛肉,,100g,178
免治牛肉漢堡,,100g,216
免治牛肉漢堡,,100g,183
免治牛肉漢堡,,100g,146
免治牛肉漢堡,,100g,227
免治羊仔肉,,100g,175
免治羊仔肉,,100g,145
匈牙利薩拉米香腸,,100g,415
意大利肉腸,,100g,323
意大利辣味香腸,,100g,413
斯特拉斯堡香腸,,100g,239
早餐煙肉片,,100g,142
早餐煙肉片,,100g,155
早餐煙肉片,,100g,97
柏林香腸,,100g,235
法式羊仔脊排或羊仔架,,100g,279
法式羊仔脊排或羊仔架,,100g,201
法式羊仔脊排或羊仔架,,100g,241
法蘭克褔香腸,,100g,247
法蘭克褔香腸,,100g,210
波蘭香腸,,100g,233
漢堡肉餅,,100g,341
漢堡肉餅,,100g,282
漢堡肉餅,,100g,300
火腿排,,100g,163
火腿排,,100g,125
火腿雞肉卷,,100g,231
煙肉中薄片,,100g,239
煙肉中薄片,,100g,658
煙肉中薄片,,100g,228
煙肉中薄片,,100g,314
煙肉中薄片,,100g,137
煙肉漢堡肉餅,,100g,273
煙肉漢堡肉餅,,100g,274
牛T骨排,,100g,236
牛T骨排,,100g,153
牛T骨排,,100g,236
牛T骨排,,100g,117
牛上腰烤肉塊,,100g,173
牛上腰烤肉塊,,100g,158
牛上腰烤肉塊,,100g,163
牛上腰烤肉塊,,100g,118
牛上腰肉排,,100g,190
牛上腰肉排,,100g,158
牛上腰肉排,,100g,135
牛上腰肉排,,100g,118
牛下後腰脊肉排,,100g,241
牛下後腰脊肉排,,100g,158
牛下後腰脊肉排,,100g,227
牛下後腰脊肉排,,100g,115
牛仔心,,100g,183
牛仔心,,100g,103
牛仔肉,,100g,163
牛仔肉,,100g,157
牛仔肉,,100g,112
牛仔肉,,100g,108
牛仔肉條,,100g,150
牛仔肉條,,100g,147
牛仔肉條,,100g,132
牛仔肉條,,100g,129
牛仔肉片,,100g,152
牛仔肉片,,100g,133
牛仔肉片,,100g,126
牛仔肉片,,100g,110
牛仔肝,,100g,182
牛仔肝,,100g,124
牛仔肥肉,,100g,377
牛仔肥肉,,100g,336
牛仔腎,,100g,168
牛仔腎,,100g,108
牛仔腿烤肉塊,,100g,138
牛仔腿烤肉塊,,100g,113
牛仔腿肉排,,100g,162
牛仔腿肉排,,100g,157
牛仔腿肉排,,100g,116
牛仔腿肉排,,100g,113
牛仔里脊肉塊,,100g,162
牛仔里脊肉塊,,100g,24
牛仔里脊肉塊,,100g,131
牛仔里脊肉塊,,100g,106
牛後腿肉排,,100g,167
牛後腿肉排,,100g,148
牛後腿肉排,,100g,136
牛後腿肉排,,100g,101
牛肉條,,100g,158
牛肉條,,100g,155
牛肉條,,100g,134
牛肉條,,100g,129
牛肉香腸,,100g,256
牛肉香腸,,100g,247
牛肉香腸,,100g,255
牛肋骨肉排,,100g,190
牛肋骨肉排,,100g,156
牛肋骨肉排,,100g,171
牛肋骨肉排,,100g,114
牛肥肉,,100g,555
牛肥肉,,100g,544
牛肩肉排,,100g,181
牛肩肉排,,100g,124
牛肩肉排,,100g,261
牛肩肉排,,100g,228
牛腎,,100g,136
牛腎,,100g,89
牛腿端烤肉塊,,100g,191
牛腿端烤肉塊,,100g,159
牛腿端烤肉塊,,100g,170
牛腿端烤肉塊,,100g,119
牛腿端肉排,,100g,159
牛腿端肉排,,100g,119
牛臀肉排,,100g,218
牛臀肉排,,100g,170
牛臀肉排,,100g,195
牛臀肉排,,100g,108
穀物鹹牛肉,,100g,198
米蘭薩拉米香腸,,100g,426
羊仔下腿肉,,100g,181
羊仔下腿肉,,100g,134
羊仔下腿肉,,100g,260
羊仔下腿肉,,100g,139
羊仔前1/4部分肉塊,,100g,217
羊仔前1/4部分肉塊,,100g,134
羊仔前1/4部分肉塊,,100g,271
羊仔前1/4部分肉塊,,100g,134
羊仔帶骨厚肉塊,,100g,300
羊仔帶骨厚肉塊,,100g,229
羊仔帶骨厚肉塊,,100g,236
羊仔帶骨厚肉塊,,100g,130
羊仔後腿烤肉塊,,100g,229
羊仔後腿烤肉塊,,100g,178
羊仔後腿烤肉塊,,100g,189
羊仔後腿烤肉塊,,100g,115
羊仔心,,100g,185
羊仔心,,100g,123
羊仔肉,,100g,193
羊仔肉,,100g,185
羊仔肉,,100g,133
羊仔肋骨或肩胛肉,,100g,141
羊仔肝,,100g,208
羊仔肝,,100g,154
羊仔肥肉,,100g,539
羊仔肥肉,,100g,554
羊仔肩肉,,100g,262
羊仔肩肉,,100g,169
羊仔肩肉,,100g,214
羊仔肩肉,,100g,112
羊仔腎,,100g,147
羊仔腎,,100g,92
羊仔腦,,100g,136
羊仔腦,,100g,121
羊仔腰肉塊,,100g,277
羊仔腰肉塊,,100g,202
羊仔腰肉塊,,100g,410
羊仔腰肉塊,,100g,161
羊仔腰脊眼肉,,100g,202
羊仔腰脊眼肉,,100g,161
羊仔腿烤肉塊,,100g,230
羊仔腿烤肉塊,,100g,178
羊仔腿烤肉塊,,100g,189
羊仔腿烤肉塊,,100g,115
羊仔臀肉,,100g,229
羊仔臀肉,,100g,130
羊仔舌,,100g,278
羊仔舌,,100g,200
羊仔蝶形肉排,,100g,202
羊仔蝶形肉排,,100g,161
羊仔里脊肉,,100g,161
羊仔里脊肉,,100g,117
羊肥肉,,100g,645
羊肥肉,,100g,604
羊腿烤肉塊,,100g,262
羊腿烤肉塊,,100g,190
羊腿烤肉塊,,100g,122
肉眼牛柳,,100g,179
肉眼牛柳,,100g,118
肝泥醬,,100g,277
肝泥香腸,,100g,316
蒜卷,,100g,237
薩拉米碎肉腸,,100g,421
薩拉米香腸,,100g,428
蘇格蘭牛柳,,100g,228
蘇格蘭牛柳,,100g,170
蘇格蘭牛柳,,100g,213
蘇格蘭牛柳,,100g,122
豬中段里脊肉排,,100g,188
豬中段里脊肉排,,100g,115
豬前1/4部分肉塊,,100g,237
豬前1/4部分肉塊,,100g,163
豬前1/4部分肉塊,,100g,188
豬前1/4部分肉塊,,100g,114
豬前1/4部分肥肉,,100g,522
豬前1/4部分肥肉,,100g,489
豬前1/4部分肩胛烤肉塊,,100g,216
豬前1/4部分肩胛烤肉塊,,100g,183
豬前1/4部分肩胛烤肉塊,,100g,107
豬前1/4部分肩胛肉,,100g,158
豬柳,,100g,125
豬柳,,100g,101
豬肉香腸,,100g,288
豬肉香腸,,100g,264
豬肉香腸,,100g,261
豬肩胛火腿,,100g,119
豬肩胛火腿,,100g,111
豬脆皮,,100g,510
豬腿火腿,,100g,112
豬腿火腿,,100g,208
豬腿火腿,,100g,109
豬腿烤肉塊,,100g,229
豬腿烤肉塊,,100g,144
豬腿烤肉塊,,100g,189
豬腿烤肉塊,,100g,106
豬腿肉排,,100g,125
豬腿肉排,,100g,100
豬腿肉條,,100g,134
豬腿肥肉,,100g,592
豬腿肥肉,,100g,587
豬薄腿肉排,,100g,134
豬蝶形肉排,,100g,192
豬蝶形肉排,,100g,157
豬蝶形肉排,,100g,145
豬蝶形肉排,,100g,104
豬里脊肉塊,,100g,280
豬里脊肉塊,,100g,170
豬里脊肉塊,,100g,230
豬里脊肉塊,,100g,106
豬里脊肥肉,,100g,589
豬里脊肥肉,,100g,565
豬頸肉,,100g,224
豬頸肉,,100g,171
豬頸肉,,100g,169
豬頸肉,,100g,112
頭肉凍,,100g,218
鹹牛肉,,100g,153
鹹牛肉,,100g,102
鹹牛肉,,100g,201
黑香腸,,100g,260
豬嫩里脊肉,,100g,116
豬肩胛,,100g,189
豬腩肉,,100g,368
豬里脊,,100g,153
冬南瓜,,100g,34
冬南瓜,,100g,39
冬南瓜,,100g,37
匈牙利紅辣椒,,100g,29
南歐朝鮮薊,,100g,17
南歐朝鮮薊,,100g,20
南歐朝鮮薊,,100g,22
南瓜花,,100g,15
南瓜花,,100g,15
南瓜葉,,100g,19
南瓜葉,,100g,21
南瓜葉,,100g,21
卷心生菜,,100g,14
哈佛紅菜頭,,100g,73
四棱豆塊莖,,100g,148
四棱豆葉,,100g,74
墨西哥哈拉貝紐辣椒,,100g,30
墨西哥哈拉貝紐辣椒,,100g,27
墨西哥澤拉諾辣椒,,100g,32
大花田菁,,100g,27
大花田菁,,100g,21
大花田菁,,100g,22
婆羅門參,,100g,82
婆羅門參,,100g,68
婆羅門參,,100g,68
安秋辣椒,,100g,281
小扁豆芽,,100g,106
小扁豆芽,,100g,101
小扁豆芽,,100g,101
小松菜,,100g,22
小松菜,,100g,16
小松菜,,100g,16
山葵根,,100g,109
山薯,,100g,67
山薯,,100g,82
山薯,,100g,82
巴西拉辣椒,,100g,345
意大利芥蘭,,100g,22
意大利芥蘭,,100g,33
愛爾蘭海藻,,100g,49
慈姑,,100g,99
慈姑,,100g,78
慈姑,,100g,78
扁圓南瓜,,100g,18
扁圓南瓜,,100g,16
扁圓南瓜,,100g,16
抱子甘藍,,100g,43
抱子甘藍,,100g,36
抱子甘藍,,100g,36
抱子甘藍,,100g,41
抱子甘藍,,100g,42
抱子甘藍,,100g,42
提子葉,,100g,93
提子葉,,100g,69
散葉甘藍,,100g,50
散葉甘藍,,100g,28
散葉甘藍,,100g,28
散葉甘藍,,100g,28
散葉甘藍,,100g,30
散葉甘藍,,100g,30
斑豆芽,,100g,62
斑豆芽,,100g,20
斑豆芽,,100g,22
日式醃椰菜,,100g,30
朝鮮薊,,100g,47
朝鮮薊,,100g,53
朝鮮薊,,100g,53
朝鮮薊,,100g,38
朝鮮薊,,100g,45
朝鮮薊,,100g,45
木薯,,100g,160
木薯粉圓,,100g,358
棕櫚心,,100g,28
椰菜,,100g,25
椰菜,,100g,24
椰菜,,100g,23
椰菜,,100g,23
椰菜花,,100g,25
椰菜花,,100g,23
椰菜花,,100g,23
椰菜花,,100g,24
椰菜花,,100g,17
椰菜花,,100g,19
橙番茄,,100g,16
橡實南瓜,,100g,40
橡實南瓜,,100g,34
橡實南瓜,,100g,34
橡實南瓜,,100g,56
橡實南瓜,,100g,56
款冬,,100g,14
款冬,,100g,8
款冬,,100g,8
款冬,,100g,3
法蘭克福素腸,,100g,233
洋葱,,100g,40
洋葱,,100g,42
洋葱,,100g,44
洋葱,,100g,19
洋葱,,100g,349
洋葱,,100g,29
洋葱,,100g,26
洋葱,,100g,28
洋葱,,100g,35
洋葱,,100g,26
洋葱,,100g,28
洋葱圈,,100g,332
洋葱圈,,100g,258
洋葱圈,,100g,407
海軍豆芽,,100g,67
海軍豆芽,,100g,78
海軍豆芽,,100g,78
灰胡桃南瓜,,100g,45
灰胡桃南瓜,,100g,40
灰胡桃南瓜,,100g,40
灰胡桃南瓜,,100g,57
灰胡桃南瓜,,100g,39
灰胡桃南瓜,,100g,39
燴製素食,,100g,123
牛油生菜,,100g,13
牛油粟米,,100g,106
牛蒡根,,100g,72
